condition,solution
Under extrusion after retraction,"During a 3D printing retraction, especially with very aggressive retract settings, there could be not enough filament in the nozzle to properly start the print again at the end of the travel move.

To fix:

Lower your retraction length.
Give it a bit extra restart distance to prime the nozzle after the retraction.
A series of very fast retracts can chew up a filament so that the feeder gear can slip on the damaged filament once you start extruding again.

To fix:

Slow down the retraction speed.
Check that the feeder pinch wheel tension is correct."
Extruder motor is clicking,"Deformed filament
Remove the filament from the extruder and check how it looks. Is it deformed, as in no longer round but crushed so that its diameter is now wider than it should be? If so you might want to try to decrease the idler pressure on your feeder gear.

Conversely, if the filament is not crushed, but just has a gouge taken out of it where the hob gear has repeatedly slipped, increasing the idler pressure may restore correct filament feeding. Just don’t overdo it or the problems listed above will likely happen."
Extruder motor is clicking,"Reduce strain
This problem is made worse when you’re trying to print something that requires a lot of retractions in a short amount of time. Try to reduce the amount of retractions or set your retracts to be less aggressive."
Extruder motor is clicking,"Reduce friction
Check your filament path for excess friction."
Extruder motor is clicking,"Worn PTFE liner
A lot of HotEnds, even in direct extruders, include a PTFE liner, i.e. a short piece of Bowden tube somewhere between nozzle and heat break. In most Bowden style extruders, the tube extends all the way from the extruder down into the HotEnd. If this inner tube is worn or degraded (happens when printing too hot, usually above 260°C) the friction increases and might be too much for the extruder stepper motor to overcome."
Extruder motor is clicking,"Check PTFE liner gap
If the HotEnd uses a PTFE liner and it is frayed or has been cut at an angle. Any gap there will lead to clogs sooner or later as the melted filament will leak out around the outside of the liner causing the liner’s inner diameter to deform and reduce.

When using an Ultimaker: check the PTFE coupler in your HotEnd. It is considered consumable and will need replacement on a regular basis."
Extruder motor is clicking,"Nozzle clogged
Your nozzle or HotEnd is clogged. This could be any of the benign reasons like printing too cold, or too hot, or too fast, using too much retraction or nozzle to close to the bed, etc. But there are also some mechanical things to look into, especially if the problem reappears after you cleaned it."
Extruder motor is clicking,"To note:
If your HotEnd wasn’t assembled properly, a common point of failure here is if the nozzle is tightened against the heater block instead of tightening it against the heat break."
Extruder motor is clicking,"Pro tip:
Increase the Vref of the extruder stepper, giving it a little more power to maybe push a bit stronger without skipping. But do keep an eye on the motor and driver temperatures if you do."
Bowden tube issues,"If you’re using a Bowden extruder, these are also common points of failure:

There’s debris in the Bowden tube.
The Bowden tube is worn in the inside and has increased friction.
The bend radius of the Bowden tube is too high. Consider a longer tube or straighten its path.
A common issue with Bowden style extruders is when the tubing isn’t pushed all the way into the HotEnd. Or the end of the tube is frayed or has been cut at an angle. Any gap there will lead to clogs sooner or later as the melted filament leaks out around the tube causing it to deform."
If the extruder isn’t clicking,"Check extruder is clear
Remove the filament from the extruder. Could be a bit tricky. Check its shape. Chances are the feeder gear has eaten away a good part of the filament and dug itself in, i.e. no filament can be transported, as there is nothing left for the gear to grip. This is usually a consequence of a blockage that happened before. So, once you cleaned this feeder section of the extruder of any debris and fed fresh filament in, you’ll still have to find the cause for the blockage that was responsible for this in the first place."
If the extruder isn’t clicking,"Adjust idler pressure spring
Another reason why filament might not get transported properly if the idler isn’t exerting enough pressure to push the filament against the feeder gear. A lot of feeders have a spring that can be tensioned to increase the idler pressure. Or this spring might be missing, broken or collapsed."
If the extruder isn’t clicking,"Check feeder gear
While at it, check that the teeth of the feeder gear haven’t worn. A lot of these gears are made from brass and won’t last forever. Teeth might even be missing entirely.

Also, the teeth could be gunked up with debris stripped from the filament during normal operation and need to be cleaned - small brass wire brush is ideal for this - but PLEASE, for your own sanity, make sure that no pieces of the brush or debris get into the HotEnd or the path leading to it. Metal particles in a HotEnd and nozzle are not something you ever want to happen."
If the extruder isn’t clicking,"Check thermister
Most firmware versions today will deactivate the extruder motor if the nozzle is not up to temperature. So, it won’t click and not feed anything either. Take a peek at your nozzle temperature, maybe your thermistor stopped working?"
Motor is wildly turning back and forth even with no filament loaded,"This could be a sign of a loose motor cable either at the board or the motor end, a broken cable or broken or loose pin in the connector. Or a failed motor. Or wrong cable configuration with leads swapped. If this happens, stop what the printer is doing immediately, let it cool down and power it off!

A broken wire on a stepper can easily destroy a driver chip by creating high voltage spikes as the stepper is connected and disconnected (the same damage can occur if you manually disconnect or reconnect a stepper motor while the printer is powered-up)."
Deformed filament or filament diameter too thick,"Use good calipers or a better yet a micrometer screw gauge to measure the diameter of the filament coming of the spool and check if it is round or has been flattened. If it is thicker than it should be or no longer perfectly round, return the spool to the manufacturer/seller for a replacement. Cheap filaments often have large fluctuations in their diameter."
"Filament not unspooling from the spool, kinked, knotted or twisted on the spool","You may be able to see the issue and untangle the knot or remove a layer or two if there is a kink. If you cannot see the issue but your spool will not unspool easily, or it is repeatedly happening, please see our article [How to untangle a tangled or knotted spool]."
Too much friction in filament path (especially common with worn or dirty Bowden tubes),"Check the filament path is clean, especially if using a Bowden tube. If your Bowden tube or another part has become worn it may need replacing."
Trying to extrude too much material for the nozzle size,Calibrate your extruder and reduce your material flow. Especially when switching to smaller nozzle sizes your extrusion settings need to be spot on. The smaller diameter holes are way less forgiving as we’re facing higher pressure trying to extrude through a smaller hole to begin with. Too much pressure and the drive gear of the feeder motor is likely to start grinding instead of pushing the filament.
Partial (or full) clog in the nozzle or HotEnd,See [Clogged Nozzle].
The nozzle being too close to the bed (bed levelling is off) or too close to the previously printed layer (warping),See [Nozzle to close to the bed] and/or [Warping].
Trying to print too cold,"Check the temperature range of the filament you’re printing. Increase your printing temperature gradually in 5°C increments within the range, staying around 10°C below the glass transition temperature (for rigid.ink, find GT temp in the downloadable datasheets in the settings tab on product pages)."
Trying to print too fast,"Printing too fast, if you haven’t adjusted other settings to allow for the extra speed, can cause issues such as not being able to feed the filament fast enough. Try reducing your speed in 10mm/s increments until it feeds correctly.
"
Idler Tension,"If your extruder is equipped with some form of idler tension adjustment, decrease the tension. Lacking that you might be able to modify the feeder in some other manner (for example shortening the idler spring or replacing it with a softer spring). Or try a different, harder filament type or brand."
Too many retractions,"If the problem is caused by too many retractions, use a slicer software that allows better control and reduce the amount of retractions occurring."
Inconsistent diameter,"If your filament diameter is not consistent, you’ll notice it in your prints. Sections that are too thin will produce under-extrusions or fail to get gripped and transported by the drive gear. Parts that are too thick will over-extrude or even get stuck somewhere along the filament path. High quality filament has a consistent diameter from beginning to the end of the spool."
Filament slipping,There could be a thin section on a spool with inconsistent diameter. Or maybe your extruder’s feeder idler pressure is not high enough or possibly the drive gears teeth are worn or gunked up.
Moisture absorbtion,"Filament will absorb moisture, Nylons and PVA especially, but it can also happen with ‘normal’ filament, even PLA, it just takes longer. Make sure you store your filament in sealed bags with freshly charged desiccant."
Stale filament,"Filament can go stale, especially after it absorbs moisture or was exposed to UV/sunlight for quite a while. Generally once exposed to the air, we suggest replacing filament over 6 months old. However, if stored correctly it can last much longer and if unopened and stored in a cool, dry space may last indefinitely."
Brittle filament,"Brittle filament, breaking or snapping may mean stale filament. There are also some of the more brittle formulas, especially for PLA or PMMA, which might snap when passing the drive gear or is bent for example in a Bowden tube at a higher angle.

A good test for the ‘freshness’ of PLA filament is to bend it to 90 degrees (at room temperature ~20°C) with your fingers. If it snaps, it is stale. Pull 10-15 meters off the reel and try again. You might be lucky - it may only be the top layers that have gone stale.
"
Prevent a clogged extruder,"Prevent any accumulation in your nozzle by doing pre-emptive maintenance (regularly cleaning).
Use a filament filter. This is a small tool that is used (often clipped on) before the filament feeds through the extruder to filter away anything that may be sitting on the filament (dust/dirt). They can be printed and files are available on websites like thingiverse.
Make sure never to exceed the recommended HotEnd temperature for whatever filament you’re trying to use. Cooked filament blocks nozzles. This includes staying around 10 °C below the glass transition temperature (rigid.ink GT temp available on downloadable datasheets in the settings tab on product pages).
Use particle filled filaments in nozzle with at least 0.5mm diameter or greater.
We recommend FLOSS, a high-performance cleaning filament, to make preventive maintenance easy. Extrude a bit of rigid.ink Floss on a regular basis, such as between material changes and the risk of clogs should be lessened drastically. Especially when switching from a high temp material to a low temp one, or when cleaning up after particle filled filaments."
Unblock a clogged nozzle,"You can try to dislodge the block in your nozzle with an acupuncture needle, hypodermic needle or an uncoated high-e guitar string. Once you got the clog dislodged, try cleaning filament (see FLOSS, a high-performance cleaning filament).
A highly effective yet brutal (if done improperly) way to clean a blockage are so call cold pulls or the “atomic method”. We’ve got an article on nozzle cleaning methods here.
Another equally brutal and somewhat dangerous way is to torch your nozzle with a blowtorch (after removing it from the printer first!). The idea is to heat and melt the blockage within the nozzle. This is NOT a method rigid.ink advise for safety reasons.
With ABS you could try to soak it in an acetone bath overnight. The acetone should dissolve the blockage but will only work with materials acetone soluble have been used (rigid.ink ABS, ASA, PMMA, HIPS and Polycarbonate).
You can do the same for PLA with a bath of ethyl acetate."
In the top layer / pillowing,"3D printer pillowing occurs when trying to print a solid layer over a coarse infill grid. Depending on your infill percentage and your layer height, it may take a lot of layers to fully close the top surface over infill to produce a nice, smooth surface. Figure at least 1mm of combined layers for your top layer as a rule of thumb. So, if you’re printing with a layer height of 0.2mm use at least 5 top layers to play it safe. Other ways to reduce 3D printing pillowing are:

Print colder or increase fan speeds. Better cooling improves bridging performance, and that’s basically what we’re doing when printing over infill.
Use a higher infill percentage. More infill means smaller gaps, which are easier to cover.
Another possible cause for gaps in your top layer is under-extrusion . See [Under-extrusion]."
Holes and gaps in floor corners,"These 3D printer errors happen where a horizontal surface meets an inclined one. The top layer(s) looks like the printer could not be bothered to print all the way to the edge. Its causes are similar in nature to pillowing, but it can be more annoying to nail the exact cause when everything else is looking great!

There are a lot of possible causes of this, here’s a list of problem and solutions:

Under-extrusion can cause holes and gaps. Increase the extrusion multiplier/feed rate, also see [Under-extrusion].
Not enough top layers - increase the top layers count so you are printing at least 1mm thick.
Printing too hot - print at a lower temperature so the plastic sets in position faster.
Printing too fast - slow down the print speed. This allows the extruded plastic to cool more before the next pass of the nozzle. If kept too warm, the layer will peel back from where it was printed.
Not enough cooling - if at all possible, increase cooling during the printing of these parts of the object. Always check this is suitable for the material you’re using with the manufacturer.
Too little infill - increasing the infill percentage will help. Also look at the minimum infill length in your slicer and reduce this to allow smaller runs of infill to be printed at the edges of an object instead of being ignored.
The infill outline overlap is too small - all slicers can set how much the infill overlaps the outlines/perimeters of the object being printed. This setting makes sure they go all the way to the edge and fuse together and so help support the layers above. Try increasing this and note the result (too much and you will likely see the infill pattern poking through the object’s visible walls and other such surfaces).
Not enough outlines/perimeters - these also have a support role to fill, so increase these if at all possible.
Too much retraction - causes there to be gaps in positions where retractions take place, so reduce this."
Between infill and outlines,"If this happens on your first layer, chances are your nozzle to bed distance is not set properly. Your nozzle is probably too far away from the bed. See chapter [First Layer Issues]. If it happens later in the print:

This could be a result of printing too fast, try printing slower.
It could be a sign of (temporary) under extrusion. See [ Under-extrusion].
Another possibility is wrong extrusion settings in your slicer. Check what was dialled in is correct for your printer and print.
Increase your extrusion multiplier Simplify3D.
Increase extrusion width.
Increase overlap settings."
Gaps between thin walls,"When trying to print thin walls that are not multiples of your nozzle width in thickness, there is a common problem with slicers leaving a gap inside walls, severely weakening the structural strength of your wall. It is rather straightforward issue: if you’re trying to print a wall that is 0.9mm thick with a 0.4mm nozzle, an average slicer might end up using 2 lines at 0.4mm each and leave a gap of 0.1mm, as it doesn’t know a way to close the remaining 0.1mm.

Therefore you should always strive to stick to a multiple of your nozzle width when designing thin walls to help alleviate the issue:

Thin wall options - A lot of slicers today have special thin wall options, make yourself familiar with them and see where they can take you.
Adjust line width - Adjust (not necessarily increase) line width or the amount of outlines to force your slicer to construct your wall differently.
You can try increasing your extrusion multiplier to close the gap by intentionally over-extruding.
You can also set a narrower nozzle diameter in your slicer settings than you actually have fitted. If used with care and balanced against the extrusion multiplier, this can overcome some situations that your favourite slicer cannot cope with."
Steam coming out of your nozzle,"If it’s too late and moisture has affected the filament, try drying the filament or replace the spool.

To prevent moisture store your filament dry, this is why we at rigid.ink provide special Mylar (metallic) resealable bags with each order. Maybe build a dry box for storage or even to keep the filament dry while printing sensitive materials like Nylons or PVA, with those materials, a few hours on an especially humid day is all it takes."
Smoke coming out of your nozzle,"First time you heat up this nozzle, do it slowly, but you might still see smoke. Keep your finger on the power switch (if the printer even has one) and be ready to shut it down if there is more than just production remnants burning."
