content,name
"You’ve come back to find your 3D printer not printing anymore. This along with coming back to find a ‘birdsnest’ are the two most cliche versions of failed 3D prints. For some reason or another, your 3D printer stops extruding mid print:

Filament has stripped or is blocked in the extruder. See [Clogged Nozzle]
Filament is kinked, snapped or ran out. The filament has twisted or you got a knot on the reel. See our article How to untangle a tangled spool
Filament diameter isn’t consistent. Especially very cheap filaments suffer from fluctuations in filament diameter. Too thin and there isn’t enough filament fed into the HotEnd, to thick and there might be too much friction to push it in through the extruder and the related filament path.
You’re trying to print a part with too aggressive retraction 3D printing settings or excessive amount of retractions in a short period of time. Check your 3D printer retraction settings and lower total amount of retractions occurring and/or reduce retraction distance. Sometimes loosening the feeder gear idler pressure onto the filament can help.
Overheated stepper drivers. A lot of tinkerers like to increase the Vref of their stepper drivers, often needlessly. This could lead to overheated steppers. Also, when printing high temperature filaments in an enclosed or heated build chamber steppers tend to get considerably hotter.
Nozzle clogged mid print. This again can have a lot of different causes. See [Clogged Nozzle]
If it happens very early in the print, it might be too much back pressure because the nozzle is too close to the bed. See [Nozzle too close].
In general: Try printing hotter or slower. But do not exceed the maximum print temperature of the filament, as it might start to deteriorate in your nozzle and clog. Very common error is to boil rigid ink PLA by exceeding the maximum print temperature.
Check for warping. Warped areas are closer to the nozzle increasing back pressure. See [Warping]
Monitor nozzle temperature while printing, check for high drops in print temperature.
Keep your nozzle clean, especially after switching between different filament types.
When using particle filled filaments, consider using a bigger nozzle.
Flexible filament got stuck. Flexible filaments are difficult to print with most extruders out there, as they tend to escape the intended filament path and simply get stuck. Try printing way slower, try printing hotter (within the recommended range) and maybe even consider upgrading to a different extruder design specialised in printing flexible filaments.
Also see [Filament not feeding properly].",Solution18
"Under extrusion at the beginning of a print is common and to a point to be considered normal. It can take a bit to get the flow of filament going, this is where using a skirt if no brim is required comes in handy.

Consider using a skirt as this will show how consistently the material is being laid down before you waste filament on the printed object itself.
Modify your start code in your slicer to add some extra priming. While you’re checking the codes, make sure you don’t have an excessive retract in your end code.
Often, not extruding properly at the beginning of a print is a result of the nozzle being too close to the bed or issues mentioned in the sections above.
Check print temperature, you might be printing too cold.
Also see [filament not feeding properly].",Solution19
"During a 3D printing retraction, especially with very aggressive retract settings, there could be not enough filament in the nozzle to properly start the print again at the end of the travel move.

To fix:

Lower your retraction length.
Give it a bit extra restart distance to prime the nozzle after the retraction.
A series of very fast retracts can chew up a filament so that the feeder gear can slip on the damaged filament once you start extruding again.

To fix:

Slow down the retraction speed.
Check that the feeder pinch wheel tension is correct.",Solution20
"Deformed filament
Remove the filament from the extruder and check how it looks. Is it deformed, as in no longer round but crushed so that its diameter is now wider than it should be? If so you might want to try to decrease the idler pressure on your feeder gear.

Conversely, if the filament is not crushed, but just has a gouge taken out of it where the hob gear has repeatedly slipped, increasing the idler pressure may restore correct filament feeding. Just don’t overdo it or the problems listed above will likely happen.",Solution21
"Reduce strain
This problem is made worse when you’re trying to print something that requires a lot of retractions in a short amount of time. Try to reduce the amount of retractions or set your retracts to be less aggressive.",Solution22
"Reduce friction
Check your filament path for excess friction.",Solution23
"Worn PTFE liner
A lot of HotEnds, even in direct extruders, include a PTFE liner, i.e. a short piece of Bowden tube somewhere between nozzle and heat break. In most Bowden style extruders, the tube extends all the way from the extruder down into the HotEnd. If this inner tube is worn or degraded (happens when printing too hot, usually above 260°C) the friction increases and might be too much for the extruder stepper motor to overcome.",Solution24
"Check PTFE liner gap
If the HotEnd uses a PTFE liner and it is frayed or has been cut at an angle. Any gap there will lead to clogs sooner or later as the melted filament will leak out around the outside of the liner causing the liner’s inner diameter to deform and reduce.

When using an Ultimaker: check the PTFE coupler in your HotEnd. It is considered consumable and will need replacement on a regular basis.",Solution25
"Nozzle clogged
Your nozzle or HotEnd is clogged. This could be any of the benign reasons like printing too cold, or too hot, or too fast, using too much retraction or nozzle to close to the bed, etc. But there are also some mechanical things to look into, especially if the problem reappears after you cleaned it.",Solution26
"To note:
If your HotEnd wasn’t assembled properly, a common point of failure here is if the nozzle is tightened against the heater block instead of tightening it against the heat break.",Solution27
"Pro tip:
Increase the Vref of the extruder stepper, giving it a little more power to maybe push a bit stronger without skipping. But do keep an eye on the motor and driver temperatures if you do.",Solution28
"If you’re using a Bowden extruder, these are also common points of failure:

There’s debris in the Bowden tube.
The Bowden tube is worn in the inside and has increased friction.
The bend radius of the Bowden tube is too high. Consider a longer tube or straighten its path.
A common issue with Bowden style extruders is when the tubing isn’t pushed all the way into the HotEnd. Or the end of the tube is frayed or has been cut at an angle. Any gap there will lead to clogs sooner or later as the melted filament leaks out around the tube causing it to deform.",Solution29
"Check extruder is clear
Remove the filament from the extruder. Could be a bit tricky. Check its shape. Chances are the feeder gear has eaten away a good part of the filament and dug itself in, i.e. no filament can be transported, as there is nothing left for the gear to grip. This is usually a consequence of a blockage that happened before. So, once you cleaned this feeder section of the extruder of any debris and fed fresh filament in, you’ll still have to find the cause for the blockage that was responsible for this in the first place.",Solution30
"Adjust idler pressure spring
Another reason why filament might not get transported properly if the idler isn’t exerting enough pressure to push the filament against the feeder gear. A lot of feeders have a spring that can be tensioned to increase the idler pressure. Or this spring might be missing, broken or collapsed.",Solution31
"Check feeder gear
While at it, check that the teeth of the feeder gear haven’t worn. A lot of these gears are made from brass and won’t last forever. Teeth might even be missing entirely.

Also, the teeth could be gunked up with debris stripped from the filament during normal operation and need to be cleaned - small brass wire brush is ideal for this - but PLEASE, for your own sanity, make sure that no pieces of the brush or debris get into the HotEnd or the path leading to it. Metal particles in a HotEnd and nozzle are not something you ever want to happen.",Solution32
"Check thermister
Most firmware versions today will deactivate the extruder motor if the nozzle is not up to temperature. So, it won’t click and not feed anything either. Take a peek at your nozzle temperature, maybe your thermistor stopped working?",Solution33
"This could be a sign of a loose motor cable either at the board or the motor end, a broken cable or broken or loose pin in the connector. Or a failed motor. Or wrong cable configuration with leads swapped. If this happens, stop what the printer is doing immediately, let it cool down and power it off!

A broken wire on a stepper can easily destroy a driver chip by creating high voltage spikes as the stepper is connected and disconnected (the same damage can occur if you manually disconnect or reconnect a stepper motor while the printer is powered-up).",Solution34
"Use good calipers or a better yet a micrometer screw gauge to measure the diameter of the filament coming of the spool and check if it is round or has been flattened. If it is thicker than it should be or no longer perfectly round, return the spool to the manufacturer/seller for a replacement. Cheap filaments often have large fluctuations in their diameter.",Solution35
"You may be able to see the issue and untangle the knot or remove a layer or two if there is a kink. If you cannot see the issue but your spool will not unspool easily, or it is repeatedly happening, please see our article [How to untangle a tangled or knotted spool].",Solution36
"Check the filament path is clean, especially if using a Bowden tube. If your Bowden tube or another part has become worn it may need replacing.",Solution37
Calibrate your extruder and reduce your material flow. Especially when switching to smaller nozzle sizes your extrusion settings need to be spot on. The smaller diameter holes are way less forgiving as we’re facing higher pressure trying to extrude through a smaller hole to begin with. Too much pressure and the drive gear of the feeder motor is likely to start grinding instead of pushing the filament.,Solution38
"Check the temperature range of the filament you’re printing. Increase your printing temperature gradually in 5°C increments within the range, staying around 10°C below the glass transition temperature (for rigid.ink, find GT temp in the downloadable datasheets in the settings tab on product pages).",Solution39
"Printing too fast, if you haven’t adjusted other settings to allow for the extra speed, can cause issues such as not being able to feed the filament fast enough. Try reducing your speed in 10mm/s increments until it feeds correctly.
",Solution40
"If your extruder is equipped with some form of idler tension adjustment, decrease the tension. Lacking that you might be able to modify the feeder in some other manner (for example shortening the idler spring or replacing it with a softer spring). Or try a different, harder filament type or brand.",Solution41
"If the problem is caused by too many retractions, use a slicer software that allows better control and reduce the amount of retractions occurring.",Solution42
"If your filament diameter is not consistent, you’ll notice it in your prints. Sections that are too thin will produce under-extrusions or fail to get gripped and transported by the drive gear. Parts that are too thick will over-extrude or even get stuck somewhere along the filament path. High quality filament has a consistent diameter from beginning to the end of the spool.",Solution43
There could be a thin section on a spool with inconsistent diameter. Or maybe your extruder’s feeder idler pressure is not high enough or possibly the drive gears teeth are worn or gunked up.,Solution44
"Filament will absorb moisture, Nylons and PVA especially, but it can also happen with ‘normal’ filament, even PLA, it just takes longer. Make sure you store your filament in sealed bags with freshly charged desiccant.",Solution45
"Filament can go stale, especially after it absorbs moisture or was exposed to UV/sunlight for quite a while. Generally once exposed to the air, we suggest replacing filament over 6 months old. However, if stored correctly it can last much longer and if unopened and stored in a cool, dry space may last indefinitely.",Solution46
"Brittle filament, breaking or snapping may mean stale filament. There are also some of the more brittle formulas, especially for PLA or PMMA, which might snap when passing the drive gear or is bent for example in a Bowden tube at a higher angle.

A good test for the ‘freshness’ of PLA filament is to bend it to 90 degrees (at room temperature ~20°C) with your fingers. If it snaps, it is stale. Pull 10-15 meters off the reel and try again. You might be lucky - it may only be the top layers that have gone stale.
",Solution47
"Prevent any accumulation in your nozzle by doing pre-emptive maintenance (regularly cleaning).
Use a filament filter. This is a small tool that is used (often clipped on) before the filament feeds through the extruder to filter away anything that may be sitting on the filament (dust/dirt). They can be printed and files are available on websites like thingiverse.
Make sure never to exceed the recommended HotEnd temperature for whatever filament you’re trying to use. Cooked filament blocks nozzles. This includes staying around 10 °C below the glass transition temperature (rigid.ink GT temp available on downloadable datasheets in the settings tab on product pages).
Use particle filled filaments in nozzle with at least 0.5mm diameter or greater.
We recommend FLOSS, a high-performance cleaning filament, to make preventive maintenance easy. Extrude a bit of rigid.ink Floss on a regular basis, such as between material changes and the risk of clogs should be lessened drastically. Especially when switching from a high temp material to a low temp one, or when cleaning up after particle filled filaments.",Solution48
"You can try to dislodge the block in your nozzle with an acupuncture needle, hypodermic needle or an uncoated high-e guitar string. Once you got the clog dislodged, try cleaning filament (see FLOSS, a high-performance cleaning filament).
A highly effective yet brutal (if done improperly) way to clean a blockage are so call cold pulls or the “atomic method”. We’ve got an article on nozzle cleaning methods here.
Another equally brutal and somewhat dangerous way is to torch your nozzle with a blowtorch (after removing it from the printer first!). The idea is to heat and melt the blockage within the nozzle. This is NOT a method rigid.ink advise for safety reasons.
With ABS you could try to soak it in an acetone bath overnight. The acetone should dissolve the blockage but will only work with materials acetone soluble have been used (rigid.ink ABS, ASA, PMMA, HIPS and Polycarbonate).
You can do the same for PLA with a bath of ethyl acetate.",Solution49
"3D printer pillowing occurs when trying to print a solid layer over a coarse infill grid. Depending on your infill percentage and your layer height, it may take a lot of layers to fully close the top surface over infill to produce a nice, smooth surface. Figure at least 1mm of combined layers for your top layer as a rule of thumb. So, if you’re printing with a layer height of 0.2mm use at least 5 top layers to play it safe. Other ways to reduce 3D printing pillowing are:

Print colder or increase fan speeds. Better cooling improves bridging performance, and that’s basically what we’re doing when printing over infill.
Use a higher infill percentage. More infill means smaller gaps, which are easier to cover.
Another possible cause for gaps in your top layer is under-extrusion . See [Under-extrusion].",Solution50
"These 3D printer errors happen where a horizontal surface meets an inclined one. The top layer(s) looks like the printer could not be bothered to print all the way to the edge. Its causes are similar in nature to pillowing, but it can be more annoying to nail the exact cause when everything else is looking great!

There are a lot of possible causes of this, here’s a list of problem and solutions:

Under-extrusion can cause holes and gaps. Increase the extrusion multiplier/feed rate, also see [Under-extrusion].
Not enough top layers - increase the top layers count so you are printing at least 1mm thick.
Printing too hot - print at a lower temperature so the plastic sets in position faster.
Printing too fast - slow down the print speed. This allows the extruded plastic to cool more before the next pass of the nozzle. If kept too warm, the layer will peel back from where it was printed.
Not enough cooling - if at all possible, increase cooling during the printing of these parts of the object. Always check this is suitable for the material you’re using with the manufacturer.
Too little infill - increasing the infill percentage will help. Also look at the minimum infill length in your slicer and reduce this to allow smaller runs of infill to be printed at the edges of an object instead of being ignored.
The infill outline overlap is too small - all slicers can set how much the infill overlaps the outlines/perimeters of the object being printed. This setting makes sure they go all the way to the edge and fuse together and so help support the layers above. Try increasing this and note the result (too much and you will likely see the infill pattern poking through the object’s visible walls and other such surfaces).
Not enough outlines/perimeters - these also have a support role to fill, so increase these if at all possible.
Too much retraction - causes there to be gaps in positions where retractions take place, so reduce this.",Solution51
"If this happens on your first layer, chances are your nozzle to bed distance is not set properly. Your nozzle is probably too far away from the bed. See chapter [First Layer Issues]. If it happens later in the print:

This could be a result of printing too fast, try printing slower.
It could be a sign of (temporary) under extrusion. See [ Under-extrusion].
Another possibility is wrong extrusion settings in your slicer. Check what was dialled in is correct for your printer and print.
Increase your extrusion multiplier Simplify3D.
Increase extrusion width.
Increase overlap settings.",Solution52
"When trying to print thin walls that are not multiples of your nozzle width in thickness, there is a common problem with slicers leaving a gap inside walls, severely weakening the structural strength of your wall. It is rather straightforward issue: if you’re trying to print a wall that is 0.9mm thick with a 0.4mm nozzle, an average slicer might end up using 2 lines at 0.4mm each and leave a gap of 0.1mm, as it doesn’t know a way to close the remaining 0.1mm.

Therefore you should always strive to stick to a multiple of your nozzle width when designing thin walls to help alleviate the issue:

Thin wall options - A lot of slicers today have special thin wall options, make yourself familiar with them and see where they can take you.
Adjust line width - Adjust (not necessarily increase) line width or the amount of outlines to force your slicer to construct your wall differently.
You can try increasing your extrusion multiplier to close the gap by intentionally over-extruding.
You can also set a narrower nozzle diameter in your slicer settings than you actually have fitted. If used with care and balanced against the extrusion multiplier, this can overcome some situations that your favourite slicer cannot cope with.",Solution53
"If it’s too late and moisture has affected the filament, try drying the filament or replace the spool.

To prevent moisture store your filament dry, this is why we at rigid.ink provide special Mylar (metallic) resealable bags with each order. Maybe build a dry box for storage or even to keep the filament dry while printing sensitive materials like Nylons or PVA, with those materials, a few hours on an especially humid day is all it takes.",Solution54
"First time you heat up this nozzle, do it slowly, but you might still see smoke. Keep your finger on the power switch (if the printer even has one) and be ready to shut it down if there is more than just production remnants burning.",Solution55
"See [Print not sticking to the bed].
Balance the printing and room/chamber temperature. Print a little cooler depending on the initial printing temperature. If you're starting at the lowest point in the suggested temperature range, you might want to increase the room temperature instead. The difference between printing temp and room temp shouldn't be too great or you'll experiencing warping.
To print cooler - start at your current nozzle temperature and work your nozzle temperature down in 5°C increments.
To increase chamber or ambient (room) air temperature - increase the room or chamber temperature in 5°C increments to reduce the difference in temperature and therefor the tendency to warp. See below for more information on heated enclosures.
Print thinner layers. For example starting at a typical 0.2mm layer height, try 0.15mm or even 0.1mm layer height. This will reduce stress on your part during printing.
Make sure you’re not setting your bed temperature close to the glass transition temperature of your filament (stay 10°C below). You can locate rigid.ink glass transition temperature in the downloadable datasheet for your material on the product page settings tab.
If you need more info on warping, causes and fixes, you can view our article on preventing warping here.",Solution56
"Recalibrate the steps/mm value of your extruder to ensure your extruder delivers the proper amount of filament requested. Once the steps per mm are set correctly, the next step to a proper calibration is to set your extrusion multiplier (also called feed rate) properly to combat over extrusion 3D printing.

Both steps/mm as well as extrusion multipliers are filament dependent and might even change over time. Or it could simply be a matter of you changing the extrusion multiplier for a recent print and forgot to reset it in your slicer.

Temperature can play a factor in 3D printing over extrusion, so as always ensure you’re printing at the cooler end of the spectrum for your material.",Solution57
"Often, blockages occur right after the drive gear, especially when using flexible filaments. This can be common for some printers, so be sure to read up on if your printer is suitable to print flexible filaments. Modifications can also be printed for some extruders, files are available on websites like thingiverse.
Bowden tubes like to gather debris, increasing friction, causing blockages. Inspect, clean and replace as needed.
Another notorious spot is where the Bowden tube in Bowden extruders (or the PTFE liner tube in certain HotEnds) meets up with the metal bits. If the tip of the tube is frayed, dented, carbonised or cut at anything but a 90° angle, this is inviting trouble. Also make sure your tube is seated firmly as far in as possible. If the tube moves, for example during retractions, chances for a blockage increase.
Right around the heat break. Usually a sign of insufficient HotEnd cooling or too high of a retraction distance.Also read our chapter [Filament not feeding properly]",Solution58
"Increase retraction distance
Increase the retraction distance in your slicer. There’s usually a limit for how far up you can retract filament before you’re running into other issues, but as a general rule of thumb: up to 3mm is ok for most direct extruders, 4-6mm should be ok for long Bowden systems.",Solution59
"Increase retraction speed
Increase the retraction speed. Maximum speed depends entirely on your extruder, so it is hard to come up with a valid recommendation, when in doubt try up to 40mm/s. Check with your printer manufacturer.",Solution60
"Arrange prints closer
Long travel distances around the build plate tend to make your 3D print stringy, so if you can rearrange the objects to be closer on the bed, this could help against stringing 3D printing. This may not be an option for single item prints",Solution61
"Increase travel speed
Try increasing your travel speed in your slicer. Travel speed is the speed the speed the nozzle moved around the print bed. More speed means less time to ooze between layer points.",Solution62
"Calibrate steps and multiplier
Whenever you encounter any sort of extrusion issues, make sure your basics are covered - properly calibrated extruder steps/mm and extrusion multiplier, both are key to nice prints. Over-extrusion encourages 3D print stringing. See [Over Extrusion].",Solution63
"Increase cooling
Increase cooling fans. Try increase in 20% increments, or try 100% when bridging or excessive stringing occurs.

In some instances 100% fans may not be enough. Some users fit additional cooling fans or even just put a desktop fan next to your printer to increase airflow.",Solution64
"Print single objects
If printing multiple parts at once, try printing single objects instead of placing multiple objects on the build plate. This eliminates all travel moves between multiple objects and will cut down on 3D printing stringing & oozing between multiple prints.",Solution65
"Increase the part cooling fans. If you’re not using 100% part cooling fans you can try increasing up to 100% which should help. This may not be suitable for all filaments though so be sure to check the manufacturers recommendations.
Try printing colder to begin with. Sometimes you can get away with a cooler printing temperature for the rest of the print with the same result. Alternatively, reduce the temperature when the printer is approaching the problem area.
Print slower, giving the print more time to cool down. Consider the 15 second rule: the time for the nozzle coming back to the same point on your object should not be less than 15s.
If your slicer supports it, set a minimum time per layer to ensure proper cooling. This usually results in the slicer dynamically slowing down the print speed to ensure the minimum layer time, which, in this particular case, won’t help all that much.
Pro tip: you could add a pause to the layer change script and park the nozzle away from the object for a few seconds.
Workaround: try printing two copies of the object at the same time, the travel moves between the 2 objects will increase the layer time and allow for more cooling.",Solution66
"Lower the bed temperature. Make sure you’re within the heated bed temperature range advertised by the manufacturer. The highest point in the range should never exceed 10°C below the glass transition temperature (rigid.ink Tg are available in the downloadable datasheets in the settings tab on product pages).
Increase the nozzle to bed distance slightly. If you’re already at the lower end of the heated bed temperature range, you can try increasing the nozzle to bed distance slightly.",Solution67
"Lower the bed temperature. Make sure you’re within the heated bed temperature range advertised by the manufacturer. The highest point in the range should never exceed 10°C below the glass transition temperature (rigid.ink Tg are available in the downloadable datasheets in the settings tab on product pages).
Set your printing temperature lower. The cooler you can print, the quicker the printed filament will cool, preventing layer crushing and caving.
You can also try increasing the cooling fan speed if not already at 100%. Do check with the manufacturer this is suitable for the material you’re using.",Solution68
"Try printing cooler. Sometimes you can get away with a cooler printing temperature for the rest of the print with the same result. We always suggest printing at the lower end of the temperature range suggested by the manufacturer.
Print slower to give the printed line more time to cool before the next layer is put down.
You can also try increasing the cooling fan speed if not already at 100%. Do check with the manufacturer this is suitable for the material you’re using.
When printing in an enclosure: open all doors/panels to lower ambient temperature. This may not be suitable for all materials, check with the manufacturer/seller.
Workaround: Try a different layer height. In the classic benchy case, printing the benchy at a 0.2mm layer height usually makes the problem disappear while it is really apparent when printing the benchy with 0.1mm layers. In other cases, a lower layer height works better. Experimenting may be needed for your particular print so make one small change at a time and test.
Pro tip: Increase overall cooling capabilities by adding more external fans next to the printer or optimizing fan duct design.",Solution69
"Lower layer height
You could be trying to print using a layer height that is too high for your nozzle. Maximum layer height should not exceed 75% of your nozzle size (i.e. 0.3mm for a 0.4mm nozzle).",Solution70
"Increase temperature
If you’re printing higher temperature materials (around 230°C or above), you may be printing too cold for that material. Increase your printing temperature in 5°C increment tests until the issue is resolved.",Solution71
"Reduce cooling
Slow down or turn off your part cooling fan speed. Avoid sudden large increases in fan speed like when going into bridging mode. We want to avoid drastic temperature changes.",Solution72
"Use an enclosure
Protect your print from drafts of cold air. If you’re not using a printer that is enclosed, build your own enclosure around it.",Solution73
"Round the edges
If after these changes, you’re still getting 3D print problems with layers separating it may be worth reducing the stress on the corners of the print by rounding the model, reducing the stress on the edges. You’ll notice sharp corners (like in the image above) will crack first as the stress here is greater.",Solution74
"Change filament
Some filaments simply have less layer adhesion than others. If you’ve tried all the tips above you may need to seek better quality filament that has solid 3D printing layer adhesion.

rigid.ink Filament is guaranteed against this. If you're still experiencing this issue with rigid.ink, get in touch and we'll resolve or exchange it for you.",Solution75
"Slow it down
Trying to print too fast will cause the motors to skip, resulting in 3D printing layer shifting. Try reducing your speed and running test prints.

Pro tip: check your jerk and acceleration settings as well.",Solution76
"If also warping or curling
If you’re also experiencing warping or curling, it could be that the HotEnd simply crashed into a section that has curled upwards. This picture however does not show any signs of warping or curling.",Solution77
"Check filament is free
A temporary problem with the filament not unspooling cleanly (a knot or tangles on the spool) might have blocked the movement of the (direct drive) extruder causing your 3D printer shifting layers. See our article [How to untangle a tangled or knotted spool].",Solution78
"Printer lubrication
You’ve got mechanical friction on this axis (the X-axis in this picture). Check if your printer moves freely along this axis, clean and lubricate the mechanical parts like smooth rods, lead-screws or rails and check for broken bearings.",Solution79
"Check belts & pulleys
Loose belts or not properly tightened pulleys will cause layers to shift as the requirement amount of travel will not be achieved. So, check the belt(s) for the axis affected and if necessary tighten according to the specifications of your printer manufacturer. Also check if all pulleys are properly tightened to the motor shafts for the axis in question. Usually, NEMA motors have a flat side on the motor shaft, it is best to tighten your pulley against this flat side to ensure best grip.",Solution80
"Pro tip:
Increase the Vref for this stepper motor to give it a bit more strength",Solution81
"Reduce the Z-axis movement speed in your slicer settings.
Make sure your Z-axis can travel freely. In some case, if the filament doesn’t unspool smoothly from the reel, Z-axis travel can be blocked or in a direct drive extruder setup the extruder motor might yank the extruder upwards.
Check your Z-axis, Clean and lubricate your smooth rods, rails, lead-screw etc. and look for broken bearings. If the error occurs exactly on the same layer in repeated prints, there could also be an issue with a bent or misaligned lead screw.
Pro Tip: check acceleration and jerk settings for the Z-axis.
Check the exact resolution of your Z-axis (motor steps and properties of the lead-screw) and set layer heights to use full steps. Sometimes, a 0.12 layer prints nicer than a 0.1mm.
If this is a newly assembled DIY printer kit, look into the micro-stepping behaviour of your stepper drivers. If this is a pre-built machine, contact the manufacturer for hardware support.",Solution82
"Reduce extrusion settings
Most slicers automatically increase the infill 3D printing speed or use a bigger extrusion multiplier/line width than regular outlines. This setting is often proportionally set by applying a multiplier to your general 3D printer settings. If you’re pushing your printer to its limits in speed and extrusion volume, the infill is the most likely place where it starts to fail first. Therefore, either reduce your general extrusion settings, or find the modifier for the infill and reduce that.",Solution83
